city,date,pm25,pm10,o3,no2,so2,co,hour,day_of_week,month,is_weekend,season,aqi,dew,temperature,humidity,wind,no,nh3,wind_direction,pressure,feels_like,weather,weather_description
jharsuguda,2019-07-12 00:00:00,148.0,93.0,1.0,3.0,4.0,7.0,0,4,7,0,summer,,,,,,,,,,,,
jharsuguda,2019-08-03 00:00:00,145.0,121.0,11.0,11.0,4.0,25.0,0,5,8,1,summer,,,,,,,,,,,,
jharsuguda,2019-08-05 00:00:00,160.0,120.0,13.0,12.0,3.0,24.0,0,0,8,0,summer,,,,,,,,,,,,
jharsuguda,2019-08-06 00:00:00,31.0,73.0,1.0,6.0,3.0,29.0,0,1,8,0,summer,,,,,,,,,,,,
jharsuguda,2019-08-07 00:00:00,62.0,22.0,5.0,5.0,,16.0,0,2,8,0,summer,,,,,,,,,,,,
jharsuguda,2019-08-08 00:00:00,,,4.0,4.0,1.0,16.0,0,3,8,0,summer,,,,,,,,,,,,
jharsuguda,2019-08-09 00:00:00,60.0,31.0,2.0,4.0,12.0,17.0,0,4,8,0,summer,,,,,,,,,,,,
jharsuguda,2019-08-10 00:00:00,77.0,62.0,2.0,4.0,4.0,17.0,0,5,8,1,summer,,,,,,,,,,,,
jharsuguda,2019-08-11 00:00:00,151.0,77.0,8.0,4.0,6.0,5.0,0,6,8,1,summer,,,,,,,,,,,,
jharsuguda,2019-08-12 00:00:00,153.0,102.0,5.0,9.0,5.0,7.0,0,0,8,0,summer,,,,,,,,,,,,
jharsuguda,2019-09-03 00:00:00,167.0,140.0,8.0,11.0,3.0,26.0,0,1,9,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-09-05 00:00:00,141.0,128.0,2.0,11.0,3.0,24.0,0,3,9,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-09-06 00:00:00,114.0,79.0,20.0,5.0,3.0,28.0,0,4,9,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-09-07 00:00:00,51.0,41.0,4.0,6.0,,16.0,0,5,9,1,monsoon,,,,,,,,,,,,
jharsuguda,2019-09-08 00:00:00,,,2.0,3.0,,18.0,0,6,9,1,monsoon,,,,,,,,,,,,
jharsuguda,2019-09-09 00:00:00,67.0,32.0,2.0,4.0,5.0,17.0,0,0,9,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-09-10 00:00:00,121.0,47.0,,,,,0,1,9,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-09-11 00:00:00,109.0,70.0,5.0,1.0,7.0,5.0,0,2,9,0,monsoon,,,,,,,,,,,,
jharsuguda,2019-09-12 00:00:00,155.0,118.0,2.0,9.0,5.0,7.0,0,3,9,0,monsoon,,,,,,,,,,,,
