city,date,pm25,pm10,o3,no2,so2,co
jharsuguda,2020-09-05,108.0,68.0,46.0,,,3.0
jharsuguda,2020-09-08,95.0,20.0,11.0,2.0,3.0,
jharsuguda,2020-09-09,149.0,61.0,13.0,,6.0,6.0
jharsuguda,2020-09-10,138.0,44.0,13.0,4.0,4.0,5.0
jharsuguda,2020-09-11,156.0,83.0,25.0,7.0,10.0,8.0
jharsuguda,2020-09-12,152.0,92.0,23.0,4.0,11.0,10.0
jharsuguda,2020-10-01,127.0,,29.0,7.0,1.0,14.0
jharsuguda,2020-10-02,141.0,122.0,36.0,9.0,2.0,
jharsuguda,2020-10-03,98.0,31.0,25.0,6.0,,2.0
jharsuguda,2020-10-04,167.0,125.0,68.0,,2.0,2.0
jharsuguda,2020-10-05,121.0,90.0,22.0,7.0,3.0,5.0
jharsuguda,2020-10-08,58.0,33.0,7.0,2.0,5.0,1.0
jharsuguda,2020-10-09,124.0,62.0,12.0,2.0,6.0,7.0
jharsuguda,2020-10-10,88.0,45.0,10.0,4.0,5.0,5.0
jharsuguda,2020-10-11,150.0,86.0,22.0,6.0,6.0,9.0
jharsuguda,2020-10-12,155.0,91.0,27.0,4.0,8.0,10.0
jharsuguda,2020-11-01,,,29.0,8.0,1.0,15.0
jharsuguda,2020-11-02,157.0,109.0,32.0,10.0,2.0,
jharsuguda,2020-11-03,99.0,23.0,39.0,4.0,,1.0
jharsuguda,2020-11-04,169.0,118.0,60.0,,2.0,2.0
jharsuguda,2020-11-05,186.0,78.0,41.0,,2.0,3.0
jharsuguda,2020-11-08,64.0,39.0,13.0,2.0,4.0,1.0
jharsuguda,2020-11-09,133.0,45.0,10.0,4.0,5.0,14.0
jharsuguda,2020-11-10,85.0,46.0,16.0,4.0,4.0,6.0
jharsuguda,2020-11-11,143.0,68.0,24.0,6.0,6.0,8.0
jharsuguda,2020-11-12,147.0,96.0,26.0,4.0,13.0,10.0
jharsuguda,2020-12-01,,,24.0,8.0,2.0,15.0
jharsuguda,2020-12-02,162.0,112.0,29.0,12.0,2.0,
jharsuguda,2020-12-03,78.0,,,,,
jharsuguda,2020-12-04,160.0,123.0,,,2.0,3.0
jharsuguda,2020-12-05,159.0,78.0,40.0,7.0,3.0,3.0
jharsuguda,2020-12-08,80.0,42.0,11.0,2.0,3.0,1.0
